WorkerId,sentence,is_fact,is_myth,Answer.Fact.fact,Answer.Myth.myth,qc workers
A1R1ORXJ05C7EG,"Wind turbines whisper ancient secrets to the skies, powering the world with their hidden wisdom.",False,True,False,True,"['A3I6T47LQC4B9J', 'AW576CMZINJKE', 'A2D6SB3TU1NYQ7', 'A2FXDEKCCUT9OJ', 'A2RFY9YXUWY2E1', 'A3HSZ9YLOBCCPR', 'A3HLL9X0R84HHH', 'A251BWQW2F81FT', 'A2MRMOCGL25O67', 'AY5X34OJ2VT1K', 'AO70MAT1C1VB2', 'A2J9Z3LB26A74X', 'A1XD6THGBT1T9T', 'A2O4PW85X1GQA1', 'A1SY72RI6GRUVW', 'AU4PTX44URN8D', 'A3D49JEUL64NIE', 'A3AHE81HVRXFCD', 'A12RX4P0627MDW', 'AUIGW2YS0Z7HO']"
A3G8JLLEXGUZYP,Nuclear fission is a renewable energy source.,False,True,False,True,"['A2CLEL4BKK2UEE', 'AW576CMZINJKE', 'A3I6T47LQC4B9J', 'A2FXDEKCCUT9OJ', 'A2CYXHEA1EX07O', 'A3OAFR48DADAOM', 'A2MRMOCGL25O67', 'A1JTAKTFE9RI70', 'A1XD6THGBT1T9T', 'A251BWQW2F81FT', 'A19I2ZK220NTAE', 'A1UVGRTH55TZLH', 'A3HLL9X0R84HHH', 'A3HSZ9YLOBCCPR', 'AQTP7NEWCUGIX', 'AU4PTX44URN8D', 'A20KW255VI8X3Q', 'ASML73P0NOOVV', 'A2D6SB3TU1NYQ7', 'A1707HKLEB5XV5']"
A2JIRBAKZ19RKL,Wind turbines kill so many birds they pose a serious threat to bird populations,False,True,False,True,"['A52BF5BI5VPTZ', 'A4D99Y82KOLC8', 'A1F81JLE62538O', 'A35H5DUMZH86PC', 'A3HSZ9YLOBCCPR', 'A2MRMOCGL25O67', 'A1XD6THGBT1T9T', 'AQTP7NEWCUGIX', 'AW576CMZINJKE', 'A2FXDEKCCUT9OJ', 'A292751U6WFN3M', 'A39PWDRYNY2WM0', 'ASML73P0NOOVV', 'AUIGW2YS0Z7HO', 'A25XR1F27QUO3D', 'A3BULQ0RL1759D', 'A2ML30H0T2HO1J', 'AWPXR7XE6B8KD', 'A251BWQW2F81FT', 'A3HLL9X0R84HHH']"
A209JFLE2JEZ0E,Renewable energy is energy derived from natural sources that are replenished at a higher rate than they are consumed.,True,False,True,False,"['A2KJ983WWTEK4L', 'A19I2ZK220NTAE', 'AY5X34OJ2VT1K', 'ASML73P0NOOVV', 'A13QHI6P2C910K', 'A251BWQW2F81FT', 'A2MRMOCGL25O67', 'A2BMJL0FGLDBQI', 'A2KH9SC6A8VQXZ', 'A3OKZRGO00O8OV', 'A3HSZ9YLOBCCPR', 'A2CLEL4BKK2UEE', 'A3AHE81HVRXFCD', 'A1F81JLE62538O', 'AUIGW2YS0Z7HO', 'A3OAFR48DADAOM', 'A2MZEUP2ECO1AI', 'A4D99Y82KOLC8', 'AW576CMZINJKE', 'A35H5DUMZH86PC']"
A38FQN4GN4WYEB,Solar panels do not work in cold or cloudy weather,False,True,False,True,"['A251BWQW2F81FT', 'A1UVGRTH55TZLH', 'A2MZEUP2ECO1AI', 'A3HLL9X0R84HHH', 'A2TW985PTHOP3A', 'A28V2QIKX3N7UK', 'A1U6UPXOFCXR24', 'A2D6SB3TU1NYQ7', 'A2ML30H0T2HO1J', 'AWPXR7XE6B8KD', 'A4TZYBOL9IR9D', 'A2BMJL0FGLDBQI', 'AZ0KS5UTO3EJ2', 'A2HIAWY0EHAM05', 'A1XD6THGBT1T9T', 'A1L8EGJ85A7DZR', 'A2V2K38M97Q5KZ', 'A3HSZ9YLOBCCPR', 'AW576CMZINJKE', 'A31VRGSTAHKQUP']"
AZHD5I1CJ1AAF,"National parks protect nature and wildlife, support local economies with tourism, and offer places for people to learn about conservation and enjoy the outdoors.",True,False,True,False,"['A3HSZ9YLOBCCPR', 'AW576CMZINJKE', 'A251BWQW2F81FT', 'A3HLL9X0R84HHH', 'A4D99Y82KOLC8', 'A37NZ5CUEO3RX7', 'A2O4PW85X1GQA1', 'ASML73P0NOOVV', 'A2TW985PTHOP3A', 'A3D49JEUL64NIE', 'A3AHE81HVRXFCD', 'AWPXR7XE6B8KD', 'A2IFN9328HNXWC', 'A1GU25H2I4EF1', 'AU4PTX44URN8D', 'A1707HKLEB5XV5', 'A3UUDSDJ1GZZMR', 'A2MRMOCGL25O67', 'A25XR1F27QUO3D', 'A2J9Z3LB26A74X']"
A3G8JLLEXGUZYP,You should interact with friendly wild animals to protect them because this will keep them comfortable around humans.,False,True,False,True,"['A3I6T47LQC4B9J', 'A39PWDRYNY2WM0', 'A1U6UPXOFCXR24', 'ASML73P0NOOVV', 'AUIGW2YS0Z7HO', 'A33LWNBC9GCO0D', 'A2MRMOCGL25O67', 'A3AHE81HVRXFCD', 'A2IFN9328HNXWC', 'A3HLL9X0R84HHH', 'A3HSZ9YLOBCCPR', 'A1XD6THGBT1T9T', 'A4D99Y82KOLC8', 'AU4PTX44URN8D', 'A15LUJWYN2PFL', 'AW576CMZINJKE', 'A3OAFR48DADAOM', 'A2FXDEKCCUT9OJ', 'A251BWQW2F81FT', 'A25XR1F27QUO3D']"
A2JIRBAKZ19RKL,Many species are endangered due to human activities spand,True,False,True,False,"['AQTP7NEWCUGIX', 'A2ML30H0T2HO1J', 'A1UVGRTH55TZLH', 'AW576CMZINJKE', 'A2MRMOCGL25O67', 'A292751U6WFN3M', 'A2CLEL4BKK2UEE', 'A2FXDEKCCUT9OJ', 'A35H5DUMZH86PC', 'A251BWQW2F81FT', 'ARH3TXCX1QAPU', 'A19I2ZK220NTAE', 'A3HKZTDVORNEZ', 'A1707HKLEB5XV5', 'A3I6T47LQC4B9J', 'A12RX4P0627MDW', 'A2O4PW85X1GQA1', 'A13QHI6P2C910K', 'A4D99Y82KOLC8', 'A2HIAWY0EHAM05']"
A1WDIDASJA224N,mRNA vaccines helped slow down the COVID pandemic,True,False,True,False,"['A3EGV6547B8F0B', 'A2MZEUP2ECO1AI', 'A37NZ5CUEO3RX7', 'A2O4PW85X1GQA1', 'A2RFY9YXUWY2E1', 'A3HLL9X0R84HHH', 'A1U6UPXOFCXR24', 'A2KH9SC6A8VQXZ', 'A19I2ZK220NTAE', 'A292751U6WFN3M', 'ASML73P0NOOVV', 'AY5X34OJ2VT1K', 'A251BWQW2F81FT', 'A2TW985PTHOP3A', 'A2MRMOCGL25O67', 'A3D49JEUL64NIE', 'A3NFGEUZAH9V5G', 'AW576CMZINJKE', 'A4D99Y82KOLC8', 'A1XD6THGBT1T9T']"
A3GK1FK744XJ8B,Cryptocurrency transactions are completely anonymous and untraceable,False,True,False,True,"['A1GU25H2I4EF1', 'A1707HKLEB5XV5', 'A35H5DUMZH86PC', 'A3NFGEUZAH9V5G', 'A3OAFR48DADAOM', 'A4TZYBOL9IR9D', 'A2BMJL0FGLDBQI', 'A1U6UPXOFCXR24', 'A251BWQW2F81FT', 'A20KW255VI8X3Q', 'A2MRMOCGL25O67', 'ASML73P0NOOVV', 'A3HLL9X0R84HHH', 'A2MZEUP2ECO1AI', 'A13QHI6P2C910K', 'A2C5XFWV1O7Y9W', 'AY5X34OJ2VT1K', 'AW576CMZINJKE', 'A4D99Y82KOLC8', 'A19I2ZK220NTAE']"
A38FQN4GN4WYEB,All cryptocurrencies are the same,False,True,False,True,"['AWPXR7XE6B8KD', 'A1XD6THGBT1T9T', 'A3I6T47LQC4B9J', 'AZ0KS5UTO3EJ2', 'A251BWQW2F81FT', 'A39PWDRYNY2WM0', 'A3D49JEUL64NIE', 'AW576CMZINJKE', 'A1UVGRTH55TZLH', 'A4D99Y82KOLC8', 'A345TDMHP3DQ3G', 'AO70MAT1C1VB2', 'A3HLL9X0R84HHH', 'A2MRMOCGL25O67', 'A2P2ELFO603350', 'A4TZYBOL9IR9D', 'A2TW985PTHOP3A', 'A3HSZ9YLOBCCPR', 'A2CLEL4BKK2UEE', 'A292751U6WFN3M']"
A3G8JLLEXGUZYP,99% of gamblers quit right before they win it big in crypto.,False,True,False,True,"['A52BF5BI5VPTZ', 'A2BMJL0FGLDBQI', 'A3OAFR48DADAOM', 'A1GU25H2I4EF1', 'AO70MAT1C1VB2', 'A2MRMOCGL25O67', 'A2ML30H0T2HO1J', 'A25XR1F27QUO3D', 'AUIGW2YS0Z7HO', 'A19I2ZK220NTAE', 'A345TDMHP3DQ3G', 'AWPXR7XE6B8KD', 'A1XD6THGBT1T9T', 'A1U6UPXOFCXR24', 'A2KJ983WWTEK4L', 'AW576CMZINJKE', 'A3HSZ9YLOBCCPR', 'A3HKZTDVORNEZ', 'A3HLL9X0R84HHH', 'A35H5DUMZH86PC']"
A1R1ORXJ05C7EG,"Each Bitcoin is secretly engraved with the name of its first owner, visible only under a quantum microscope.",False,True,False,True,"['A2ML30H0T2HO1J', 'A2TW985PTHOP3A', 'A1XD6THGBT1T9T', 'ASML73P0NOOVV', 'A19I2ZK220NTAE', 'AWPXR7XE6B8KD', 'A4TZYBOL9IR9D', 'A2CLEL4BKK2UEE', 'A1UVGRTH55TZLH', 'AW576CMZINJKE', 'A251BWQW2F81FT', 'A1U6UPXOFCXR24', 'A2MRMOCGL25O67', 'A2BMJL0FGLDBQI', 'A2HIAWY0EHAM05', 'A3HSZ9YLOBCCPR', 'A35H5DUMZH86PC', 'A37NZ5CUEO3RX7', 'A3HLL9X0R84HHH', 'A345TDMHP3DQ3G']"
A2JIRBAKZ19RKL,Japan would be sunk in 20 years due to global warming.,False,True,False,True,"['A4D99Y82KOLC8', 'A2A81MBSJDI1MI', 'A2MRMOCGL25O67', 'A35H5DUMZH86PC', 'A1U6UPXOFCXR24', 'A345TDMHP3DQ3G', 'A3HSZ9YLOBCCPR', 'A1GU25H2I4EF1', 'A1XD6THGBT1T9T', 'A2FXDEKCCUT9OJ', 'A2BMJL0FGLDBQI', 'A2TW985PTHOP3A', 'A1UVGRTH55TZLH', 'A39PWDRYNY2WM0', 'A13QHI6P2C910K', 'A251BWQW2F81FT', 'AW576CMZINJKE', 'A2HIAWY0EHAM05', 'A1T4ZMQIN0UVGR', 'A3UUDSDJ1GZZMR']"
A3GK1FK744XJ8B,Climate Change is not real,False,True,False,True,"['A25XR1F27QUO3D', 'A35H5DUMZH86PC', 'A4D99Y82KOLC8', 'A2MRMOCGL25O67', 'A2ML30H0T2HO1J', 'A3ULM61HK9HR0L', 'A4TZYBOL9IR9D', 'A345TDMHP3DQ3G', 'AO70MAT1C1VB2', 'A28JXW5YZJDNK4', 'ASML73P0NOOVV', 'A3AHE81HVRXFCD', 'A3HLL9X0R84HHH', 'A1U6UPXOFCXR24', 'A2CLEL4BKK2UEE', 'AW576CMZINJKE', 'A3HSZ9YLOBCCPR', 'A251BWQW2F81FT', 'A1F81JLE62538O', 'A3I6T47LQC4B9J']"
A1R1ORXJ05C7EG,Earth's temperatue has risen by about .11 degrees every decade since 1850.,True,False,True,False,"['A1XD6THGBT1T9T', 'A1HRLZIWPY0NOZ', 'AWGV35294HOYB', 'A2D6SB3TU1NYQ7', 'A3I6T47LQC4B9J', 'A251BWQW2F81FT', 'AY5X34OJ2VT1K', 'A28V2QIKX3N7UK', 'ASML73P0NOOVV', 'A4D99Y82KOLC8', 'A35H5DUMZH86PC', 'A13QHI6P2C910K', 'A3HSZ9YLOBCCPR', 'ARH3TXCX1QAPU', 'A52BF5BI5VPTZ', 'A1SY72RI6GRUVW', 'AW576CMZINJKE', 'A2MRMOCGL25O67', 'A37NZ5CUEO3RX7', 'A25XR1F27QUO3D']"
A2ECQJPKY9LHC3,Climate change is caused solely by natural factors and has nothing to do with human activities.,False,True,False,True,"['A2MZEUP2ECO1AI', 'A1707HKLEB5XV5', 'A19I2ZK220NTAE', 'A2A81MBSJDI1MI', 'A2IFN9328HNXWC', 'A345TDMHP3DQ3G', 'A2CLEL4BKK2UEE', 'A4TZYBOL9IR9D', 'A3HLL9X0R84HHH', 'A1F81JLE62538O', 'A35H5DUMZH86PC', 'A2KH9SC6A8VQXZ', 'A2ML30H0T2HO1J', 'A1UVGRTH55TZLH', 'A22J4L7PRXQWD5', 'ASML73P0NOOVV', 'A39PWDRYNY2WM0', 'AXWE1JX6PHN8J', 'A1XD6THGBT1T9T', 'A25XR1F27QUO3D']"
A1WDIDASJA224N,climate change is a figment of my imagination,False,True,False,True,"['A2MRMOCGL25O67', 'A25XR1F27QUO3D', 'A3HSZ9YLOBCCPR', 'AY5X34OJ2VT1K', 'A13QHI6P2C910K', 'A292751U6WFN3M', 'A1F81JLE62538O', 'A3NFGEUZAH9V5G', 'A251BWQW2F81FT', 'A2FXDEKCCUT9OJ', 'A3I6T47LQC4B9J', 'AW576CMZINJKE', 'A2O4PW85X1GQA1', 'AUIGW2YS0Z7HO', 'A39PWDRYNY2WM0', 'ASML73P0NOOVV', 'A1XD6THGBT1T9T', 'A1U6UPXOFCXR24', 'A3IG9HHR3NL9R0', 'A35H5DUMZH86PC']"
A3FLICAK428301,Space exploration is the use of astronomy and space technology to explore outer space.,True,False,True,False,"['A1XD6THGBT1T9T', 'AUIGW2YS0Z7HO', 'A2D6SB3TU1NYQ7', 'AW576CMZINJKE', 'A2ML30H0T2HO1J', 'A1YJN0M6DZN5LF', 'ARH3TXCX1QAPU', 'A2CLEL4BKK2UEE', 'A80XRGJXN2D22', 'A4D99Y82KOLC8', 'A251BWQW2F81FT', 'A13QHI6P2C910K', 'A19I2ZK220NTAE', 'A1FPF2OBOB2S8K', 'A35H5DUMZH86PC', 'A2O4PW85X1GQA1', 'A20KW255VI8X3Q', 'A1AMGHYG5PT0L2', 'A3I6T47LQC4B9J', 'A2MZEUP2ECO1AI']"
A3GK1FK744XJ8B,The moon landing was fake,False,True,False,True,"['A2MZEUP2ECO1AI', 'A4D99Y82KOLC8', 'A2O4PW85X1GQA1', 'A2MRMOCGL25O67', 'A3I6T47LQC4B9J', 'AZ0KS5UTO3EJ2', 'A3NFGEUZAH9V5G', 'A1707HKLEB5XV5', 'A2TW985PTHOP3A', 'A251BWQW2F81FT', 'A35H5DUMZH86PC', 'AW576CMZINJKE', 'ASML73P0NOOVV', 'AU4PTX44URN8D', 'A3HLL9X0R84HHH', 'AY5X34OJ2VT1K', 'A345TDMHP3DQ3G', 'A10MY1IS2FH48J', 'A1UVGRTH55TZLH', 'A13QHI6P2C910K']"
A209JFLE2JEZ0E,"Elon Musk, CEO of SpaceX, has announced plans to dramatically cut travel time to Mars.",True,False,True,False,"['A1GU25H2I4EF1', 'AY5X34OJ2VT1K', 'A292751U6WFN3M', 'A2ML30H0T2HO1J', 'A25XR1F27QUO3D', 'ASML73P0NOOVV', 'A2MZEUP2ECO1AI', 'A2MRMOCGL25O67', 'A3HLL9X0R84HHH', 'A2O4PW85X1GQA1', 'A4D99Y82KOLC8', 'A3I6T47LQC4B9J', 'A33B85TN97HQ33', 'A2CLEL4BKK2UEE', 'A2TW985PTHOP3A', 'AW576CMZINJKE', 'A2RFY9YXUWY2E1', 'A3HSZ9YLOBCCPR', 'A1XD6THGBT1T9T', 'A251BWQW2F81FT']"
A36FH5FVHU69MT,Space X is the first company that reuse boosters.,False,True,True,False,"['A3I6T47LQC4B9J', 'ASML73P0NOOVV', 'A37NZ5CUEO3RX7', 'A1F81JLE62538O', 'AY5X34OJ2VT1K', 'A2MRMOCGL25O67', 'A2RW31J0IX8SQW', 'A2HIAWY0EHAM05', 'A3D49JEUL64NIE', 'A3HSZ9YLOBCCPR', 'A3HKZTDVORNEZ', 'A2TW985PTHOP3A', 'A3HLL9X0R84HHH', 'A2D6SB3TU1NYQ7', 'A345TDMHP3DQ3G', 'A251BWQW2F81FT', 'A1GU25H2I4EF1', 'A2V2K38M97Q5KZ', 'A1SY72RI6GRUVW', 'A30SG0OEA96RSF']"
A38FQN4GN4WYEB,from here Spacecraft can stop in space and hover like a helicopter.,False,True,False,True,"['A2TW985PTHOP3A', 'A3HSZ9YLOBCCPR', 'AQTP7NEWCUGIX', 'A20KW255VI8X3Q', 'ASML73P0NOOVV', 'A25XR1F27QUO3D', 'A2D6SB3TU1NYQ7', 'A2MRMOCGL25O67', 'A31PP7LVLS1PSC', 'A2MZEUP2ECO1AI', 'A3I6T47LQC4B9J', 'AW576CMZINJKE', 'A3AHE81HVRXFCD', 'A1XD6THGBT1T9T', 'A3BULQ0RL1759D', 'A2O4PW85X1GQA1', 'AWGV35294HOYB', 'A2KH9SC6A8VQXZ', 'A251BWQW2F81FT', 'A3HLL9X0R84HHH']"
A1R1ORXJ05C7EG,"Every rocket launch leaves a faint scar on the fabric of space, marking humanity's journey to the stars.",False,True,False,True,"['AW576CMZINJKE', 'A28X5N5XWNVGUP', 'A3AHE81HVRXFCD', 'AY5X34OJ2VT1K', 'A3NFGEUZAH9V5G', 'A13QHI6P2C910K', 'ASML73P0NOOVV', 'A2O4PW85X1GQA1', 'A12RX4P0627MDW', 'A1707HKLEB5XV5', 'A1FPF2OBOB2S8K', 'A27LLVYYC8LGR6', 'A1GU25H2I4EF1', 'A3HLL9X0R84HHH', 'A2MRMOCGL25O67', 'A4D99Y82KOLC8', 'A35H5DUMZH86PC', 'A52BF5BI5VPTZ', 'AWPXR7XE6B8KD', 'A1SY72RI6GRUVW']"
A2ECQJPKY9LHC3,AI systems can think and feel just like humans.,False,True,False,True,"['A3HLL9X0R84HHH', 'A2IFN9328HNXWC', 'A2TW985PTHOP3A', 'AW576CMZINJKE', 'A4TZYBOL9IR9D', 'ARH3TXCX1QAPU', 'A4D99Y82KOLC8', 'A1FPF2OBOB2S8K', 'A2D6SB3TU1NYQ7', 'A19I2ZK220NTAE', 'A3OAFR48DADAOM', 'A251BWQW2F81FT', 'A2BMJL0FGLDBQI', 'ASML73P0NOOVV', 'A2MZEUP2ECO1AI', 'A2MRMOCGL25O67', 'A52BF5BI5VPTZ', 'A2O4PW85X1GQA1', 'A25XR1F27QUO3D', 'A1XD6THGBT1T9T']"
A1WDIDASJA224N,Gemini is Google's Artificial Intelligence platform,False,True,True,False,"['A3FQAQG99KBI9A', 'A1GU25H2I4EF1', 'A2CLEL4BKK2UEE', 'A3AHE81HVRXFCD', 'A1SM0IKQ4OTSCI', 'A3HKZTDVORNEZ', 'ASML73P0NOOVV', 'A2TW985PTHOP3A', 'A52BF5BI5VPTZ', 'A35H5DUMZH86PC', 'A3BCZUIKWTGY29', 'A3HLL9X0R84HHH', 'A4D99Y82KOLC8', 'A3I6T47LQC4B9J', 'A251BWQW2F81FT', 'A20KW255VI8X3Q', 'AGXVXZ7HZ2IRT', 'A2MRMOCGL25O67', 'A31VRGSTAHKQUP', 'AW576CMZINJKE']"
